name,author,narrator,duration_minutes,release_date,language,star_rating,num_ratings,price_inr
Tigers for Dinner,Ruskin Bond,AdnanKapadia,39,2017-01-01,English,4.5,20.0,284.0
The Hidden Kingdom,Tui T.Sutherland,ShannonMcManus,454,2016-07-01,English,5.0,9.0,575.0
Eagle Strike,Anthony Horowitz,OliverChris,417,2021-05-20,English,5.0,2.0,569.0
Captain Marvel - Ultron blir viral,"Marvel,Camilla Dunér",MalinLybeck,11,2022-01-11,Swedish,,,32.0
Toy Story 4,"Disney,Oskar Blomberg",FrederickHalbout,147,2022-01-07,Swedish,,,166.0
Three Lost Seeds,"Stephie Morton,Nicole Wong-illustrator",StevenJayCohen,13,2022-02-08,English,,,234.0
Mystery on the Mayhem Express,Franklin W.Dixon,TimGregory,238,2021-06-22,English,,,305.0
Tunnel of Secrets,Franklin W.Dixon,TimGregory,183,2015-11-02,English,5.0,3.0,305.0
Barbie - La puerta secreta,"Mattel,Nicolás Olucha Sánchez",BeatrizOlcina,11,2021-11-29,Spanish,,,38.0
A scuola con Pongo e Tim: Henry Every,Giulia Segreti,"GiuliaSegreti,MarcoCognigni",11,2022-02-09,Italian,,,75.0
Black Panther: Spellbound,Ronald L.Smith,DionGraham,338,2022-02-01,English,,,469.0
"The 39 Clues: Unstoppable, Book 3",Natalie Standiford,DavidPittu,289,2014-05-01,English,4.5,2.0,410.0
Hello Kitty - El Club de la Amistad,"Sanrio,Neus Casanova Vico",EvaAndrés,42,2021-11-10,Spanish,,,76.0
Treasure Island,Robert Louis Stevenson,SamTaylor,404,2019-09-06,English,4.0,4.0,32.0
The Human Body,Ladybird,BenBaileySmith,43,2020-09-17,English,,,410.0
Minecraft: The Dragon,Nicky Drayden,NicoleLewis,411,2021-07-06,English,,,1005.0
The Christmasaurus and the Naughty List,"Tom Fletcher,Shane Devries-illustrator","PaulShelley,TomFletcher",375,2021-10-14,English,,,615.0
Das Exil,"Shannon Messenger,Doris Attwood-Übersetzer",DavidNathan,945,2021-10-25,German,,,468.0
El Cerdito de Navidad [The Christmas Pig],J.K.Rowling,CristinaTenorio,438,2021-10-12,Spanish,,,799.0
Big Change for Stuart,Lissa Evans,LissaEvans,312,2021-09-01,English,,,664.0
The Imagination Box: Beyond Infinity,Martyn Ford,JoshuaMcGuire,301,2021-09-28,English,,,569.0
Camp Daze,R.L.Stine,"JamesMurray,KirbyHeyborne,InésdelCastillo,",180,2021-10-12,English,,,585.0
